Add-PagefindMeta.ps1 — LIVE RUN — 2026-05-09 17:56:27
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\appendices\4-certificate-of-service.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\biomedical-engineers\classification-staffing.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\classification-staffing\80-classification-and-reclassification.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\classification-staffing\81-disclosure-of-qualification.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\classification-staffing\82-classification-definitions.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\classification-staffing\83-progression.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\classification-staffing\84-workload.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\biomedical-engineers\consultation-disputes.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\consultation-disputes\13-consultation.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\consultation-disputes\13A-consultation-about-changes-to-rosters-or-hours-of-work.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\consultation-disputes\14-dispute-resolution-procedure.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\consultation-disputes\14A-alternative-dispute-resolution-procedure.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\consultation-disputes\15-performance-management.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\consultation-disputes\16-discipline.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd\71-supporting-professional-development.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd\72-professional-development-leave.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd\73-study-leave.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd\74-examination-leave.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd\75-staff-appraisals.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd\76-vacancies.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\education-pd\77-replacement-positions-the-royal-children-s-and-the-royal-wom.md
SKIP  | No clause prefix — C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\17-secure-employment.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\18-full-time-employment.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\19-part-time-employment.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\20-casual-employment.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\21-casual-conversion.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\22-fixed-term-employment.md
INJECT-EBA| eba=Biomedical Engineers 2025-2028 | C:\Projects\EBAdb\docs\ebas\biomedical-engineers\employment\23-termination-of-employment.md
